transfer_id,quote_id,status,reference_number,source_account_id,direction,customer_id,transaction_timestamp,beneficiary_id,beneficiary_account_number,beneficiary_iban,source_amount,target_amount,payment_purpose_key,payment_purpose_name,service_type,source_iban,total_fees,fee_details
LOC-IN-0000001,QUOTE-LOC-IN-0000001,COMPLETED,REF-LOC-IN-0000001,EXT-SRC-000001,INWARD,R2001,2026-01-03 09:01:00,,220000000001,AE070330000220000000001,6583.00,6583.00,SALARY,Salary,FTS,AE121017000000000000001,0.00,[]
LOC-IN-0000003,QUOTE-LOC-IN-0000003,COMPLETED,REF-LOC-IN-0000003,EXT-SRC-000002,INWARD,R2001,2026-02-06 09:01:00,,220000000001,AE070330000220000000001,6630.00,6630.00,SALARY,Salary,FTS,AE121027000000000000002,0.00,[]
LOC-IN-0000005,QUOTE-LOC-IN-0000005,COMPLETED,REF-LOC-IN-0000005,EXT-SRC-000003,INWARD,R2001,2026-03-09 09:01:00,,220000000001,AE070330000220000000001,6677.00,6677.00,SALARY,Salary,FTS,AE121037000000000000003,0.00,[]
LOC-IN-0000007,QUOTE-LOC-IN-0000007,COMPLETED,REF-LOC-IN-0000007,EXT-SRC-000004,INWARD,R2001,2026-04-12 09:01:00,,220000000001,AE070330000220000000001,6724.00,6724.00,SALARY,Salary,FTS,AE121047000000000000004,0.00,[]
LOC-IN-0000009,QUOTE-LOC-IN-0000009,COMPLETED,REF-LOC-IN-0000009,EXT-SRC-000005,INWARD,R2001,2026-05-15 09:01:00,,220000000001,AE070330000220000000001,6771.00,6771.00,SALARY,Salary,FTS,AE121057000000000000005,0.00,[]
LOC-IN-0000011,QUOTE-LOC-IN-0000011,COMPLETED,REF-LOC-IN-0000011,EXT-SRC-000006,INWARD,R3001,2026-01-10 10:02:00,,220000000002,AE070330000220000000002,6666.00,6666.00,SALARY,Salary,FTS,AE121067000000000000006,0.00,[]
LOC-IN-0000013,QUOTE-LOC-IN-0000013,COMPLETED,REF-LOC-IN-0000013,EXT-SRC-000007,INWARD,R3001,2026-02-13 10:02:00,,220000000002,AE070330000220000000002,6713.00,6713.00,SALARY,Salary,FTS,AE121077000000000000007,0.00,[]
LOC-IN-0000015,QUOTE-LOC-IN-0000015,COMPLETED,REF-LOC-IN-0000015,EXT-SRC-000008,INWARD,R3001,2026-03-16 10:02:00,,220000000002,AE070330000220000000002,6760.00,6760.00,SALARY,Salary,FTS,AE121087000000000000008,0.00,[]
LOC-IN-0000017,QUOTE-LOC-IN-0000017,COMPLETED,REF-LOC-IN-0000017,EXT-SRC-000009,INWARD,R3001,2026-03-28 10:02:00,,220000000002,AE070330000220000000002,6807.00,6807.00,SALARY,Salary,FTS,AE121097000000000000009,0.00,[]
LOC-IN-0000019,QUOTE-LOC-IN-0000019,COMPLETED,REF-LOC-IN-0000019,EXT-SRC-000010,INWARD,R3001,2026-04-30 10:02:00,,220000000002,AE070330000220000000002,6854.00,6854.00,SALARY,Salary,FTS,AE121107000000000000010,0.00,[]
