account_id,customer_id,entity_type,account_number,iban,account_currency,account_status,account_opened_date,account_closed_date
ACC-R2001-001,R2001,RETAIL,220000000001,AE070330000220000000001,AED,ACTIVE,2021-01-18,
ACC-R3001-001,R3001,RETAIL,220000000002,AE070330000220000000002,AED,ACTIVE,2021-02-04,
ACC-R3002-001,R3002,RETAIL,220000000003,AE070330000220000000003,AED,ACTIVE,2021-02-21,
ACC-R3003-001,R3003,RETAIL,220000000004,AE070330000220000000004,AED,ACTIVE,2021-03-10,
ACC-R3004-001,R3004,RETAIL,220000000005,AE070330000220000000005,AED,ACTIVE,2021-03-27,
ACC-R3005-001,R3005,RETAIL,220000000006,AE070330000220000000006,AED,ACTIVE,2021-04-13,
ACC-R3006-001,R3006,RETAIL,220000000007,AE070330000220000000007,AED,ACTIVE,2021-04-30,
ACC-R3007-001,R3007,RETAIL,220000000008,AE070330000220000000008,AED,ACTIVE,2021-05-17,
ACC-R3008-001,R3008,RETAIL,220000000009,AE070330000220000000009,AED,ACTIVE,2021-06-03,
ACC-R3009-001,R3009,RETAIL,220000000010,AE070330000220000000010,AED,ACTIVE,2021-06-20,
ACC-R3010-001,R3010,RETAIL,220000000011,AE070330000220000000011,AED,ACTIVE,2021-07-07,
ACC-R3011-001,R3011,RETAIL,220000000012,AE070330000220000000012,AED,ACTIVE,2021-07-24,
ACC-R3012-001,R3012,RETAIL,220000000013,AE070330000220000000013,AED,ACTIVE,2021-08-10,
ACC-R3013-001,R3013,RETAIL,220000000014,AE070330000220000000014,AED,ACTIVE,2021-08-27,
ACC-R3014-001,R3014,RETAIL,220000000015,AE070330000220000000015,AED,ACTIVE,2021-09-13,
ACC-R3015-001,R3015,RETAIL,220000000016,AE070330000220000000016,AED,ACTIVE,2021-09-30,
ACC-R3016-001,R3016,RETAIL,220000000017,AE070330000220000000017,AED,ACTIVE,2021-10-17,
ACC-R3017-001,R3017,RETAIL,220000000018,AE070330000220000000018,AED,ACTIVE,2021-11-03,
ACC-R3018-001,R3018,RETAIL,220000000019,AE070330000220000000019,AED,ACTIVE,2021-11-20,
ACC-R3019-001,R3019,RETAIL,220000000020,AE070330000220000000020,AED,ACTIVE,2021-12-07,
ACC-R3020-001,R3020,RETAIL,220000000021,AE070330000220000000021,AED,ACTIVE,2021-12-24,
ACC-R3021-001,R3021,RETAIL,220000000022,AE070330000220000000022,AED,ACTIVE,2022-01-10,
ACC-R3022-001,R3022,RETAIL,220000000023,AE070330000220000000023,AED,ACTIVE,2022-01-27,
ACC-R3023-001,R3023,RETAIL,220000000024,AE070330000220000000024,AED,ACTIVE,2022-02-13,
ACC-R3024-001,R3024,RETAIL,220000000025,AE070330000220000000025,AED,ACTIVE,2022-03-02,
ACC-R3025-001,R3025,RETAIL,220000000026,AE070330000220000000026,AED,ACTIVE,2022-03-19,
ACC-R3026-001,R3026,RETAIL,220000000027,AE070330000220000000027,AED,ACTIVE,2022-04-05,
ACC-R3027-001,R3027,RETAIL,220000000028,AE070330000220000000028,AED,ACTIVE,2022-04-22,
ACC-R3028-001,R3028,RETAIL,220000000029,AE070330000220000000029,AED,ACTIVE,2022-05-09,
ACC-R3029-001,R3029,RETAIL,220000000030,AE070330000220000000030,AED,ACTIVE,2022-05-26,
ACC-R3030-001,R3030,RETAIL,220000000031,AE070330000220000000031,AED,ACTIVE,2022-06-12,
ACC-R3031-001,R3031,RETAIL,220000000032,AE070330000220000000032,AED,ACTIVE,2022-06-29,
ACC-R3032-001,R3032,RETAIL,220000000033,AE070330000220000000033,AED,ACTIVE,2022-07-16,
ACC-R3033-001,R3033,RETAIL,220000000034,AE070330000220000000034,AED,ACTIVE,2022-08-02,
ACC-R3034-001,R3034,RETAIL,220000000035,AE070330000220000000035,AED,ACTIVE,2022-08-19,
ACC-R3035-001,R3035,RETAIL,220000000036,AE070330000220000000036,AED,ACTIVE,2022-09-05,
ACC-R3036-001,R3036,RETAIL,220000000037,AE070330000220000000037,AED,ACTIVE,2022-09-22,
ACC-R3037-001,R3037,RETAIL,220000000038,AE070330000220000000038,AED,ACTIVE,2022-10-09,
ACC-R3038-001,R3038,RETAIL,220000000039,AE070330000220000000039,AED,ACTIVE,2022-10-26,
ACC-R3039-001,R3039,RETAIL,220000000040,AE070330000220000000040,AED,ACTIVE,2022-11-12,
ACC-R3040-001,R3040,RETAIL,220000000041,AE070330000220000000041,AED,ACTIVE,2022-11-29,
