customer_id,beneficiary_account_number,source,beneficiary_id,customer_type,beneficiary_type,customer_creation_date,beneficiary_account_holder_name,nick_name,is_active,country_of_beneficiary,currency,bank_name,swift_code,beneficiary_created_date,beneficiary_updated_date,legal_type,two_factor_auth_status,cooldown,beneficiary_address_first_line,beneficiary_address_city,beneficiary_address_state,beneficiary_address_country,beneficiary_address_post_code
R2001,770200000001,payment,RET-BEN-000001,RETAIL,local,2021-01-18,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-01-12 09:01:00,2023-01-12 10:01:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3001,770200000001,payment,RET-BEN-000002,RETAIL,local,2021-02-04,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-01-23 09:02:00,2023-01-23 10:02:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3002,770200000001,payment,RET-BEN-000003,RETAIL,local,2021-02-21,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-03 09:03:00,2023-02-03 10:03:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3003,770200000001,payment,RET-BEN-000004,RETAIL,local,2021-03-10,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-14 09:04:00,2023-02-14 10:04:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3004,770200000001,payment,RET-BEN-000005,RETAIL,local,2021-03-27,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-02-25 09:05:00,2023-02-25 10:05:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3005,770200000001,payment,RET-BEN-000006,RETAIL,local,2021-04-13,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-08 09:06:00,2023-03-08 10:06:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3006,770200000001,payment,RET-BEN-000007,RETAIL,local,2021-04-30,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-19 09:07:00,2023-03-19 10:07:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3007,770200000001,payment,RET-BEN-000008,RETAIL,local,2021-05-17,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-03-30 09:08:00,2023-03-30 10:08:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3008,770200000001,payment,RET-BEN-000009,RETAIL,local,2021-06-03,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-04-10 09:09:00,2023-04-10 10:09:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3009,770200000001,payment,RET-BEN-000010,RETAIL,local,2021-06-20,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-04-21 09:10:00,2023-04-21 10:10:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3010,770200000001,payment,RET-BEN-000011,RETAIL,local,2021-07-07,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-02 09:11:00,2023-05-02 10:11:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3011,770200000001,payment,RET-BEN-000012,RETAIL,local,2021-07-24,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-13 09:12:00,2023-05-13 10:12:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3012,770200000001,payment,RET-BEN-000013,RETAIL,local,2021-08-10,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-05-24 09:13:00,2023-05-24 10:13:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3013,770200000001,payment,RET-BEN-000014,RETAIL,local,2021-08-27,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-04 09:14:00,2023-06-04 10:14:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3014,770200000001,payment,RET-BEN-000015,RETAIL,local,2021-09-13,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-15 09:15:00,2023-06-15 10:15:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3015,770200000001,payment,RET-BEN-000016,RETAIL,local,2021-09-30,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-26 09:16:00,2023-06-26 10:16:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R3016,770200000001,payment,RET-BEN-000017,RETAIL,local,2021-10-17,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-07 09:17:00,2023-07-07 10:17:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
