business_id,beneficiary_account_number,source,beneficiary_id,customer_type,beneficiary_type,customer_creation_date,beneficiary_account_holder_name,nick_name,is_active,country_of_beneficiary,currency,bank_name,swift_code,beneficiary_created_date,beneficiary_updated_date,legal_type,two_factor_auth_status,cooldown,beneficiary_address_first_line,beneficiary_address_city,beneficiary_address_state,beneficiary_address_country,beneficiary_address_post_code
B4001,770200000001,payment,SME-BEN-000452,SME,local,2021-07-04,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-06-22 09:32:00,2023-06-22 10:32:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4002,770200000001,payment,SME-BEN-000453,SME,local,2021-07-21,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-03 09:33:00,2023-07-03 10:33:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4003,770200000001,payment,SME-BEN-000454,SME,local,2021-08-07,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-14 09:34:00,2023-07-14 10:34:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4004,770200000001,payment,SME-BEN-000455,SME,local,2021-08-24,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-07-25 09:35:00,2023-07-25 10:35:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4005,770200000001,payment,SME-BEN-000456,SME,local,2021-09-10,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-08-05 09:36:00,2023-08-05 10:36:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4006,770200000001,payment,SME-BEN-000457,SME,local,2021-09-27,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-08-16 09:37:00,2023-08-16 10:37:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4007,770200000001,payment,SME-BEN-000458,SME,local,2021-10-14,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-08-27 09:38:00,2023-08-27 10:38:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4008,770200000001,payment,SME-BEN-000459,SME,local,2021-10-31,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-09-07 09:39:00,2023-09-07 10:39:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4009,770200000001,payment,SME-BEN-000460,SME,local,2021-11-17,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-09-18 09:40:00,2023-09-18 10:40:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4010,770200000001,payment,SME-BEN-000461,SME,local,2021-12-04,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-09-29 09:41:00,2023-09-29 10:41:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4011,770200000001,payment,SME-BEN-000462,SME,local,2021-12-21,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-10-10 09:42:00,2023-10-10 10:42:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4012,770200000001,payment,SME-BEN-000463,SME,local,2022-01-07,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-10-21 09:43:00,2023-10-21 10:43:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4013,770200000001,payment,SME-BEN-000464,SME,local,2022-01-24,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-11-01 09:44:00,2023-11-01 10:44:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4014,770200000001,payment,SME-BEN-000465,SME,local,2022-02-10,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-11-12 09:45:00,2023-11-12 10:45:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4015,770200000001,payment,SME-BEN-000466,SME,local,2022-02-27,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-11-23 09:46:00,2023-11-23 10:46:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4016,770200000001,payment,SME-BEN-000467,SME,local,2022-03-16,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-12-04 09:47:00,2023-12-04 10:47:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4017,770200000001,payment,SME-BEN-000468,SME,local,2022-04-02,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-12-15 09:48:00,2023-12-15 10:48:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4018,770200000001,payment,SME-BEN-000469,SME,local,2022-04-19,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2023-12-26 09:49:00,2023-12-26 10:49:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4019,770200000001,payment,SME-BEN-000470,SME,local,2022-05-06,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-01-06 09:50:00,2024-01-06 10:50:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4020,770200000001,payment,SME-BEN-000471,SME,local,2022-05-23,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-01-17 09:51:00,2024-01-17 10:51:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4021,770200000001,payment,SME-BEN-000472,SME,local,2022-06-09,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-01-28 09:52:00,2024-01-28 10:52:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B4022,770200000001,payment,SME-BEN-000473,SME,local,2022-06-26,National Utility Services PJSC,Utility Services,True,AE,AED,National Clearing Bank,,2024-02-08 09:53:00,2024-02-08 10:53:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
