entity_type,entity_id,customer_id,business_id,individual_id,emirates_id_number,customer_segment,customer_status,customer_created_date
RETAIL,R1001,R1001,,,784-1988-1000001-3,RETAIL,ACTIVE,2024-03-15
SME,B2001,B2001,B2001,IND-B2001-OWNER,784 1988 1000001 3,SME,ACTIVE,2023-06-10
RETAIL,R1002,R1002,,,784199700010021,RETAIL,ACTIVE,2026-06-20
RETAIL,R1003,R1003,,,784-1991-0001003-2,RETAIL,ACTIVE,2023-01-12
SME,B2002,B2002,B2002,IND-B2002-OWNER,784 1984 0002002 8,SME,ACTIVE,2024-01-05
RETAIL,R1004,R1004,,,784200000010048,RETAIL,ACTIVE,2026-07-01
RETAIL,R1005,R1005,,,784-1995-0001005-0,RETAIL,ACTIVE,2026-06-25
RETAIL,R1006,R1006,,,784 1989 0001006 1,RETAIL,ACTIVE,2022-09-10
RETAIL,R1007,R1007,,,784199900010078,RETAIL,ACTIVE,2026-07-05
RETAIL,R8001,R8001,,,784197800080008,RETAIL,ACTIVE,2021-01-01
RETAIL,R8002,R8002,,,784-1979-0008001-6,RETAIL,ACTIVE,2022-02-02
RETAIL,R8003,R8003,,,784 1980 0008002 4,RETAIL,ACTIVE,2023-03-03
RETAIL,R8004,R8004,,,784198100080032,RETAIL,ACTIVE,2024-04-04
RETAIL,R8005,R8005,,,784-1982-0008004-0,RETAIL,ACTIVE,2021-05-05
RETAIL,R8006,R8006,,,784 1983 0008005 8,RETAIL,ACTIVE,2022-06-06
RETAIL,R8007,R8007,,,784198400080066,RETAIL,ACTIVE,2023-07-07
RETAIL,R8008,R8008,,,784-1985-0008007-4,RETAIL,ACTIVE,2024-08-08
RETAIL,R8009,R8009,,,784 1986 0008008 2,RETAIL,ACTIVE,2021-09-09
RETAIL,R8010,R8010,,,784198700080090,RETAIL,ACTIVE,2022-10-10
RETAIL,R8011,R8011,,,784-1988-0008010-8,RETAIL,ACTIVE,2023-11-11
RETAIL,R8012,R8012,,,784 1989 0008011 6,RETAIL,ACTIVE,2024-12-12
RETAIL,R8013,R8013,,,784199000080124,RETAIL,ACTIVE,2021-01-13
RETAIL,R8014,R8014,,,784-1991-0008013-2,RETAIL,ACTIVE,2022-02-14
RETAIL,R8015,R8015,,,784 1992 0008014 0,RETAIL,ACTIVE,2023-03-15
RETAIL,R8016,R8016,,,784199300080158,RETAIL,ACTIVE,2024-04-16
RETAIL,R8017,R8017,,,784-1994-0008016-6,RETAIL,ACTIVE,2021-05-17
RETAIL,R8018,R8018,,,784 1995 0008017 4,RETAIL,ACTIVE,2022-06-18
RETAIL,R8019,R8019,,,784199600080182,RETAIL,ACTIVE,2023-07-19
RETAIL,R8020,R8020,,,784-1997-0008019-0,RETAIL,ACTIVE,2024-08-20
RETAIL,R8021,R8021,,,784 1998 0008020 8,RETAIL,ACTIVE,2021-09-21
RETAIL,R8022,R8022,,,784199900080216,RETAIL,ACTIVE,2022-10-22
RETAIL,R8023,R8023,,,784-2000-0008022-4,RETAIL,ACTIVE,2023-11-23
RETAIL,R8024,R8024,,,784 2001 0008023 2,RETAIL,ACTIVE,2024-12-24
RETAIL,R8025,R8025,,,784200200080240,RETAIL,ACTIVE,2021-01-01
RETAIL,R8026,R8026,,,784-1978-0008025-3,RETAIL,ACTIVE,2022-02-02
RETAIL,R8027,R8027,,,784 1979 0008026 1,RETAIL,ACTIVE,2023-03-03
RETAIL,R8028,R8028,,,784198000080279,RETAIL,ACTIVE,2024-04-04
RETAIL,R8029,R8029,,,784-1981-0008028-7,RETAIL,ACTIVE,2021-05-05
RETAIL,R8030,R8030,,,784 1982 0008029 5,RETAIL,ACTIVE,2022-06-06
RETAIL,R8031,R8031,,,784198300080303,RETAIL,ACTIVE,2023-07-07
RETAIL,R8032,R8032,,,784-1984-0008031-1,RETAIL,ACTIVE,2024-08-08
RETAIL,R8033,R8033,,,784 1985 0008032 9,RETAIL,ACTIVE,2021-09-09
RETAIL,R8034,R8034,,,784198600080337,RETAIL,ACTIVE,2022-10-10
RETAIL,R8035,R8035,,,784-1987-0008034-5,RETAIL,ACTIVE,2023-11-11
RETAIL,R8036,R8036,,,784 1988 0008035 3,RETAIL,ACTIVE,2024-12-12
